state_abr,fips,county,square_km,lat,lng
OH,3989,Licking,"1.780,59",40.093609,-82.481251
OH,3973,Hocking,"1.097,19",39.490343,-82.483445
OH,39163,Vinton,"1.074,79",39.252014,-82.485961
OH,3987,Lawrence,"1.184,34",38.603866,-82.517186
OH,3943,Erie,"1.621,30",41.554006,-82.525897
OH,39139,Richland,"1.295,19",40.774167,-82.542715
OH,3977,Huron,"1.281,58",41.14508,-82.594641
OH,3979,Jackson,"1.091,77",39.013477,-82.614142
OH,3945,Fairfield,"1.317,17",39.752935,-82.628276
OH,39117,Morrow,"1.054,70",40.525266,-82.797729
OH,3933,Crawford,"1.042,98",40.848508,-82.924771
OH,39145,Scioto,"1.595,82",38.815019,-82.999028
OH,3941,Delaware,"1.184,48",40.278941,-83.007462
OH,3949,Franklin,"1.407,68",39.969447,-83.008258
OH,39123,Ottawa,"1.515,31",41.544467,-83.009253
OH,39129,Pickaway,"1.311,97",39.648947,-83.052827
OH,39131,Pike,"1.149,89",39.071365,-83.052921
OH,39141,Ross,"1.794,93",39.323763,-83.059585
OH,39147,Seneca,"1.431,73",41.120008,-83.127436
OH,39143,Sandusky,"1.081,86",41.355291,-83.142735
OH,39101,Marion,"1.046,64",40.588208,-83.172927
OH,39175,Wyandot,"1.055,56",40.840122,-83.313172
OH,39159,Union,"1.131,49",40.295901,-83.367042
OH,3997,Madison,"1.208,57",39.896607,-83.400885
OH,3947,Fayette,"1.054,16",39.553845,-83.459327
OH,3995,Lucas,"1.543,31",41.682321,-83.468867
OH,391,Adams,"1.518,38",38.841681,-83.474173
OH,3971,Highland,"1.444,68",39.184488,-83.603668
OH,39173,Wood,"1.607,06",41.360183,-83.622682
OH,3965,Hardin,"1.218,97",40.660415,-83.664077
OH,3963,Hancock,"1.382,17",41.000471,-83.666034
OH,3991,Logan,"1.208,94",40.387553,-83.766343
OH,3921,Champaign,"1.113,26",40.132759,-83.767543
OH,3923,Clark,"1.042,54",39.917032,-83.783676
OH,3927,Clinton,"1.067,84",39.414041,-83.814542
OH,3915,Brown,"1.278,03",38.931377,-83.866772
OH,3957,Greene,"1.078,10",39.687479,-83.894894
OH,3969,Henry,"1.087,15",41.335072,-84.065882
OH,393,Allen,"1.053,73",40.771528,-84.106546
OH,3951,Fulton,"1.054,71",41.597264,-84.124267
OH,39137,Putnam,"1.254,33",41.024533,-84.129879
OH,3925,Clermont,"1.190,79",39.052084,-84.149614
OH,39165,Warren,"1.054,94",39.425652,-84.169906
OH,39149,Shelby,"1.063,69",40.33668,-84.204143
OH,3911,Auglaize,"1.040,93",40.561309,-84.224018
OH,39109,Miami,"1.061,00",40.053326,-84.228414
OH,39113,Montgomery,"1.202,62",39.755218,-84.290546
OH,3939,Defiance,"1.072,75",41.321679,-84.486433
OH,3961,Hamilton,"1.068,71",39.196927,-84.544187
OH,3917,Butler,"1.217,64",39.439915,-84.565397
OH,39125,Paulding,"1.084,81",41.119141,-84.576967
OH,39171,Williams,"1.095,80",41.564958,-84.584323
OH,39161,Van Wert,"1.063,00",40.85552,-84.585775
OH,3937,Darke,"1.553,36",40.132176,-84.620438
OH,39107,Mercer,"1.226,16",40.535333,-84.632059
OH,39135,Preble,"1.104,53",39.737906,-84.645358
OK,401,Adair,"1.494,56",35.8975,-94.651671
